"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2022","434.59","429.80","439.18","428.24","2.69M","1.78%"
"11/29/2022","426.97","432.18","433.34","422.83","2.64M","-0.70%"
"11/28/2022","429.96","434.88","435.75","428.80","2.42M","-0.38%"
"11/25/2022","431.60","426.01","432.95","419.45","2.71M","1.31%"
"11/24/2022","426.01","434.20","435.94","420.41","2.88M","-0.87%"
"11/23/2022","429.77","428.13","434.69","423.31","2.91M","0.63%"
"11/22/2022","427.07","423.02","431.89","422.54","2.89M","1.91%"
"11/21/2022","419.06","420.80","425.53","406.53","3.43M","2.11%"
"11/18/2022","410.39","388.21","413.18","387.63","3.21M","6.08%"
"11/17/2022","386.86","404.02","404.50","383.87","4.24M","-4.32%"
"11/16/2022","404.31","390.52","414.05","382.23","6.87M","4.30%"
"11/15/2022","387.63","381.84","400.94","381.84","5.25M","2.16%"
"11/14/2022","379.43","360.25","379.63","360.25","4.00M","5.89%"
"11/11/2022","358.32","358.80","368.35","356.29","4.37M","0.98%"
"11/10/2022","354.85","351.37","357.45","350.02","3.35M","0.99%"
"11/09/2022","351.37","352.43","356.68","346.94","2.72M","-0.25%"
"11/08/2022","352.24","356.77","360.63","351.66","3.21M","-1.16%"
"11/07/2022","356.39","349.45","362.08","349.25","4.02M","2.67%"
"11/04/2022","347.13","342.21","348.48","342.21","2.97M","1.64%"
"11/03/2022","341.54","340.57","346.84","340.19","4.92M","-4.78%"
"11/02/2022","358.70","356.29","361.40","352.72","2.41M","1.14%"
"11/01/2022","354.65","351.66","357.74","350.60","2.32M","1.32%"
"10/31/2022","350.02","347.90","351.95","343.47","1.96M","1.71%"
"10/28/2022","344.14","347.04","349.45","343.95","769.27K","-1.06%"
"10/27/2022","347.81","353.78","356.97","344.05","2.09M","-1.26%"
"10/26/2022","352.24","357.64","360.53","350.31","2.12M","-0.81%"
"10/25/2022","355.13","363.33","364.30","355.04","2.80M","-1.97%"
"10/24/2022","362.27","350.99","370.85","350.80","4.49M","3.70%"
"10/21/2022","349.35","355.81","358.03","348.48","2.18M","-0.85%"
"10/20/2022","352.34","353.88","357.74","348.58","2.71M","-0.22%"
"10/19/2022","353.11","358.70","360.05","353.11","2.71M","-0.54%"
"10/18/2022","355.04","346.17","360.05","339.03","4.24M","2.56%"
"10/17/2022","346.17","336.04","349.06","334.79","3.51M","3.91%"
"10/14/2022","333.15","335.46","337.20","332.28","1.70M","0.96%"
"10/13/2022","329.97","324.95","332.47","322.35","1.87M","2.15%"
"10/12/2022","323.03","336.43","337.97","323.03","2.01M","-3.87%"
"10/11/2022","336.04","344.91","345.49","334.79","1.87M","-2.33%"
"10/10/2022","344.05","340.48","350.60","340.48","2.24M","1.68%"
