"Date","Price","Open","High","Low","Vol.","Change %"
"07/26/2021","1,187.83","1,195.60","1,200.64","1,184.85","1.24B","-0.36%"
"07/19/2021","1,192.18","1,198.92","1,198.92","1,189.52","399.82M","-1.05%"
"07/16/2021","1,204.79","1,213.40","1,216.35","1,198.86","819.98M","-0.47%"
"07/14/2021","1,210.49","1,195.54","1,212.27","1,195.54","982.90M","1.46%"
"07/13/2021","1,193.11","1,201.52","1,202.99","1,188.22","1.18B","-0.59%"
"07/12/2021","1,200.23","1,219.67","1,222.78","1,198.19","1.42B","-1.57%"
"07/09/2021","1,219.38","1,214.19","1,222.72","1,212.67","1.22B","0.54%"
"07/08/2021","1,212.85","1,226.54","1,228.85","1,212.85","1.28B","-1.35%"
"07/07/2021","1,229.49","1,222.53","1,230.89","1,221.90","1.36B","0.70%"
"07/06/2021","1,220.98","1,231.56","1,236.61","1,220.98","1.52B","-0.76%"
"07/05/2021","1,230.34","1,214.82","1,230.34","1,214.54","1.10B","1.15%"
"07/02/2021","1,216.30","1,216.90","1,219.15","1,208.94","1.11B","0.25%"
"07/01/2021","1,213.23","1,201.31","1,213.23","1,201.31","1.16B","1.12%"
"06/30/2021","1,199.81","1,217.42","1,218.56","1,196.12","1.68B","-1.25%"
"06/29/2021","1,214.99","1,214.82","1,217.68","1,197.59","1.76B","-0.11%"
"06/28/2021","1,216.34","1,233.75","1,235.76","1,211.54","1.81B","-1.17%"
"06/25/2021","1,230.80","1,249.73","1,250.25","1,230.80","1.31B","-1.29%"
"06/24/2021","1,246.91","1,242.39","1,252.19","1,242.39","1.60B","0.59%"
"06/23/2021","1,239.54","1,252.86","1,256.32","1,238.26","1.93B","-0.66%"
"06/22/2021","1,247.76","1,242.92","1,249.52","1,235.58","1.54B","0.74%"
"06/21/2021","1,238.62","1,227.23","1,238.62","1,220.37","1.66B","0.84%"
"06/18/2021","1,228.31","1,252.75","1,256.54","1,226.73","1.92B","-1.56%"
"06/17/2021","1,247.80","1,255.98","1,261.70","1,247.77","1.94B","-1.13%"
"06/16/2021","1,262.08","1,269.49","1,272.64","1,262.08","1.53B","-0.55%"
"06/15/2021","1,269.06","1,273.42","1,279.26","1,258.29","2.60B","-0.59%"
"06/14/2021","1,276.64","1,284.38","1,286.03","1,273.66","1.65B","-0.25%"
"06/11/2021","1,279.78","1,281.76","1,285.75","1,274.77","2.01B","0.17%"
"06/10/2021","1,277.67","1,274.22","1,282.20","1,271.16","2.10B","0.52%"
"06/09/2021","1,271.11","1,270.60","1,274.95","1,267.22","1.71B","0.22%"
"06/08/2021","1,268.38","1,267.62","1,273.73","1,264.34","1.72B","0.08%"
"06/07/2021","1,267.34","1,255.12","1,270.73","1,253.92","1.78B","1.01%"
"06/04/2021","1,254.69","1,250.54","1,257.37","1,249.08","1.68B","0.38%"
"06/03/2021","1,249.89","1,255.19","1,260.73","1,234.59","2.36B","-0.14%"
